Year,Growth Rate,Population Change,Median Age,Fertility Rate,Urban Population %
2024,0.87 %,"70,237,642",30.6,2.25,55
75,"14,754,785",2.42 %,"349,317",60,"245,720","-12,024",4.131,18,39.7 %,0.2 %
76,"14,462,724",2.49 %,"351,690",128,"112,760","-7,725",4.48,18,47.2 %,0.2 %
77,"14,256,567",2.16 %,"302,096",578,"24,670","-15,582",3.645,20,18.1 %,0.2 %
78,"14,047,786",2.62 %,"358,336",547,"25,680","-27,074",4.789,16,14.5 %,0.2 %
79,"12,413,315",1.38 %,"169,156",11,"1,083,300","-3,000",2.523,25,70.3 %,0.2 %
80,"12,277,109",0.63 %,"76,678",79,"155,360","-15,221",1.818,33,71.2 %,0.2 %
81,"11,943,408",4.01 %,"460,034",20,"610,952","15,374",3.785,18,27.1 %,0.1 %
82,"11,772,557",1.16 %,"135,159",427,"27,560","-31,747",2.625,24,61 %,0.1 %
83,"11,738,763",0.22 %,"25,870",388,"30,280","36,243",1.383,42,98.6 %,0.1 %
84,"11,552,876",0.99 %,"113,663",130,"88,780","-156,369",2.604,25,84.1 %,0.1 %
85,"11,427,557",0.85 %,"96,292",236,"48,320","-34,806",2.222,28,85.8 %,0.1 %
86,"11,027,129",3.62 %,"385,048",132,"83,600","278,439",1.213,32,82.3 %,0.1 %
87,"10,979,783",-0.36 %,"-40,148",103,"106,440","-22,356",1.445,42,81.4 %,0.1 %
88,"10,825,703",1.7 %,"180,852",97,"111,890","-4,821",2.476,24,57.9 %,0.1 %
89,"10,735,859",-0.68 %,"-73,857",139,"77,240","-86,169",1.456,43,73.9 %,0.1 %
90,"10,606,999",0.53 %,"55,505",26,"410,340","50,115",1.434,40,87 %,0.1 %
91,"10,590,927",1.94 %,"201,128",76,"139,960","-21,236",3.036,22,27.4 %,0.1 %
92,"10,576,502",1.8 %,"186,867",23,"452,860",-707,3.072,23,12.4 %,0.1 %
93,"10,425,292",-0.05 %,"-5,446",114,"91,590","20,648",1.514,47,66.2 %,0.1 %
94,"10,336,577",0.18 %,"18,370",125,"82,658","10,864",1.667,33,58.3 %,0.1 %
95,"10,047,817",-1.9 %,"-195,091",78,"128,900","-122,772",1.336,46,88.5 %,0.1 %
96,"9,676,135",-0.11 %,"-10,328",107,"90,530","16,223",1.491,44,71.7 %,0.1 %
97,"9,515,236",2.27 %,"210,899",175,"54,390","-14,014",4.122,19,43.6 %,0.1 %
98,"9,387,021",1.41 %,"130,707",434,"21,640","10,612",2.785,29,91.3 %,0.1 %
99,"9,120,813",-0.11 %,"-9,616",111,"82,409","8,813",1.321,43,58.1 %,0.1 %
100,"9,056,696",-0.65 %,"-58,984",45,"202,910","-3,119",1.217,41,83.6 %,0.1 %
101,"8,921,981",0.58 %,"51,420",226,"39,516","40,099",1.438,43,74.2 %,0.1 %
102,"8,642,022",2.15 %,"181,510",120,"72,180","-11,000",3.703,19,45.1 %,0.1 %
103,"7,769,819",1.37 %,"104,826",34,"230,800","-10,284",2.397,25,37.8 %,0.1 %
104,"7,494,498",1.77 %,"130,060",16,"469,930","14,646",2.661,27,46.2 %,0.1 %
105,"7,414,909",-0.37 %,"-27,825","7,062","1,050","-19,272",0.727,47,N.A.,0.1 %
106,"7,381,023",1.03 %,"75,364",4,"1,759,540","3,448",2.298,27,77.3 %,0.1 %
107,"7,186,009",1.59 %,"112,493",37,"191,800","3,645",2.779,25,35.1 %,0.1 %
108,"6,929,153",1.24 %,"85,007",17,"397,300","-12,451",2.416,27,67.8 %,0.1 %
109,"6,916,140",1.36 %,"92,527",57,"120,340","-8,189",2.206,26,58 %,0.1 %
110,"6,757,689",-0.56 %,"-38,114",62,"108,560",524,1.745,45,76.9 %,0.1 %
111,"6,736,216",-0.55 %,"-36,985",77,"87,460","-8,132",1.499,44,73 %,0.1 %
112,"6,338,193",0.45 %,"28,569",306,"20,720","-23,102",1.768,27,79.2 %,0.1 %
113,"6,332,961",2.43 %,"150,076",19,"341,500","-2,491",4.109,18,69.2 %,0.1 %
114,"5,977,412",0.49 %,"29,276",141,"42,430","25,639",1.517,41,87.3 %,0.1 %
115,"5,832,387",0.75 %,"43,297","8,332",700,"20,011",0.952,36,N.A.,0.1 %
116,"5,805,962",0.56 %,"32,469",568,"10,230","-17,267",2.227,29,87.8 %,0.1 %
117,"5,617,310",0.29 %,"16,125",18,"303,890","26,894",1.291,43,86.4 %,0.1 %
118,"5,612,817",2.18 %,"119,786",58,"96,320","-7,779",3.864,19,54.3 %,0.1 %
119,"5,576,660",1.04 %,"57,493",15,"365,268","44,356",1.41,40,85.5 %,0.1 %
120,"5,506,760",-0.2 %,"-11,295",115,"48,088","-21,027",1.563,42,53.5 %,0.1 %
121,"5,495,443",1.59 %,"86,241",913,"6,020","-23,145",3.25,20,83.3 %,0.1 %
122,"5,330,690",3.46 %,"178,269",9,"622,980","-15,357",5.954,14,44.4 %,0.1 %
123,"5,281,538",4.6 %,"232,269",17,"309,500","154,219",2.508,29,92.8 %,0.1 %
124,"5,255,017",1.12 %,"58,387",76,"68,890","39,059",1.597,39,62 %,0.1 %
125,"5,213,944",0.79 %,"41,108",20,"263,310","18,766",1.659,38,83.4 %,0.1 %
126,"5,169,395",2.93 %,"146,954",5,"1,030,700","-2,185",4.625,17,59.8 %,0.1 %
127,"5,129,910",0.48 %,"24,385",100,"51,060",967,1.318,35,84.5 %,0.1 %
128,"4,934,507",1.98 %,"95,725",277,"17,820","61,624",1.515,35,92.1 %,0.1 %
129,"4,515,577",1.27 %,"56,818",61,"74,340","6,706",2.106,30,70.2 %,0.1 %
130,"3,875,325",-0.53 %,"-20,698",69,"55,960","-5,186",1.472,45,61.2 %,0 %
131,"3,807,670",0 %,178,55,"69,490","1,745",1.802,37,61.8 %,0 %
132,"3,535,603",1.88 %,"65,213",35,"101,000","-12,696",3.68,19,73.6 %,0 %
133,"3,475,540",1.27 %,"43,608",2,"1,553,560",83,2.632,27,67.1 %,0 %
134,"3,386,588",-0.04 %,"-1,493",19,"175,020","-1,348",1.397,36,N.A.,0 %
135,"3,242,204",0.01 %,181,366,"8,870","11,561",0.939,45,N.A.,0 %
136,"3,164,253",-0.65 %,"-20,820",62,"51,000","-4,497",1.492,45,55.5 %,0 %
137,"3,048,423",2.33 %,"69,341",263,"11,610","46,105",1.717,34,97.3 %,0 %
138,"3,034,961",-1.05 %,"-32,109",92,"32,850","-27,088",1.726,38,56.9 %,0 %
